Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
545,Crown Lifters Limited ,"Sep 9, 2016","Sep 19, 2016",10,121,121,1000,NSE SME,"552,000 Eq Shares of ₹10 (aggregating up to ₹6.68 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 27, 2016",Tuesday,2016,NaN,CROWN,NaN,INE491V01019,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.80,107.00,122.80,109.00,58000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
546,Radhika Jeweltech Ltd ,"Sep 14, 2016","Sep 20, 2016",10,75,75,1600,BSE SME,"6,600,000 Eq Shares of ₹10 (aggregating up to ₹49.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 27, 2016",Tuesday,2016,540125,NaN,M,INE583V01013,NaN,NaN,NaN,NaN,Satellite Corporate Services Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.95,66.00,73.95,71.00,139200
547,AVSL Industries Limited ,"Sep 15, 2016","Sep 28, 2016",10,36,36,3000,NSE SME,"1,440,000 Eq Shares of ₹10 (aggregating up to ₹5.18 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 6, 2016",Thursday,2016,NaN,AVSL,NaN,INE522V01011,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.00,36.00,38.00,36.00,15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
548,HPL Electric & Power Ltd ,"Sep 22, 2016","Sep 26, 2016",10,175,202,70,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹361.00 Cr),NaN,NaN,"Sep 29, 2016","Sep 30, 2016","Oct 3, 2016","Tuesday, October 4, 2016",Tuesday,2016,540136,HPL,B,INE495S01016,5.77,22.20,3.31,8.06,KFintech Private Limited,NaN,NaN,190.00,184.25,198.00,189.30,14845911,NaN,NaN,NaN,NaN,NaN,190.05,184.30,198.00,189.05,3381060,NaN,NaN,NaN,NaN,NaN
549,Diksat Transworld Ltd ,"Sep 29, 2016","Oct 6, 2016",10,36,40,3000,BSE SME,"4,608,000 Eq Shares of ₹10 (aggregating up to ₹18.43 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 18, 2016",Tuesday,2016,540151,NaN,M,INE942P01013,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.75,40.50,41.50,41.00,306000
550,Valiant Organics Ltd ,"Sep 29, 2016","Oct 4, 2016",10,220,220,600,BSE SME,"964,800 Eq Shares of ₹10 (aggregating up to ₹21.23 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 14, 2016",Friday,2016,540145,NaN,M,INE565V01010,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,264.00,264.00,264.00,264.00,6600
551,Gretex Industries Ltd ,"Sep 30, 2016","Oct 5, 2016",10,19,21,6000,NSE SME,[.] Eq Shares of ₹10 (aggregating up to ₹2.10 Cr),NaN,"924,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)",NaN,NaN,NaN,"Friday, October 14, 2016",Friday,2016,NaN,GRETEX,NaN,INE985P01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.00,22.25,24.00,24.00,264000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
552,Jet Knitwears Limited ,"Sep 27, 2016","Sep 29, 2016",10,39,39,3000,NSE SME,"1,083,000 Eq Shares of ₹10 (aggregating up to ₹4.22 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 7, 2016",Friday,2016,NaN,JETKNIT,NaN,INE564T01017,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.80,46.80,46.80,46.80,357000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
553,Nandani Creation Ltd ,"Sep 28, 2016","Oct 3, 2016",10,28,28,4000,NSE SME,"1,444,000 Eq Shares of ₹10 (aggregating up to ₹4.04 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 10, 2016",Monday,2016,NaN,NANDANI,NaN,INE696V01013,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.60,31.00,33.60,33.60,172000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
554,Sakar Healthcare Limited ,"Sep 30, 2016","Oct 5, 2016",10,42,50,3000,NSE SME,"2,961,000 Eq Shares of ₹10 (aggregating up to ₹14.81 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 14, 2016",Friday,2016,NaN,SAKAR,NaN,INE732S01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.80,51.00,54.95,52.15,795000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
555,Aurangabad Distillery Limited ,"Sep 30, 2016","Oct 6, 2016",10,35,35,4000,NSE SME,"2,200,000 Eq Shares of ₹10 (aggregating up to ₹7.70 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 17, 2016",Monday,2016,NaN,AURDIS,NaN,INE448V01019,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.00,42.00,42.00,42.00,36000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
556,Globe International Carriers Limited ,"Sep 30, 2016","Oct 7, 2016",10,24,24,6000,NSE SME,"2,154,000 Eq Shares of ₹10 (aggregating up to ₹5.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, October 19, 2016",Wednesday,2016,NaN,GICL,NaN,INE947T01014,NaN,NaN,NaN,NaN,Sharex Dynamic (India) Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.50,24.30,25.20,24.95,300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
557,Pansari Developers Limited ,"Sep 30, 2016","Oct 6, 2016",10,22,22,6000,NSE SME,"4,632,000 Eq Shares of ₹10 (aggregating up to ₹10.19 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 18, 2016",Tuesday,2016,NaN,PANSARI,NaN,INE697V01011,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.00,21.00,24.50,22.90,1584000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
558,Aditya Consumer Marketing Ltd ,"Sep 29, 2016","Oct 5, 2016",10,15,15,8000,BSE SME,"4,000,000 Eq Shares of ₹10 (aggregating up to ₹6.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 17, 2016",Monday,2016,540146,NaN,M,INE427V01013,NaN,NaN,NaN,NaN,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.70,15.70,16.50,16.50,224000
559,Shashijit Infraprojects Ltd ,"Sep 30, 2016","Oct 6, 2016",10,15,15,8000,BSE SME,"2,328,000 Eq Shares of ₹10 (aggregating up to ₹3.49 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 17, 2016",Monday,2016,540147,NaN,M,INE700V01013,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.85,15.10,15.85,15.25,56000
560,Bindal Exports Ltd ,"Sep 30, 2016","Oct 6, 2016",10,16,16,8000,BSE SME,"1,248,000 Eq Shares of ₹10 (aggregating up to ₹2.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 17, 2016",Monday,2016,540148,NaN,M,INE564V01013,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.00,16.20,17.00,16.20,16000
561,Dhanuka Realty Limited ,"Sep 30, 2016","Oct 6, 2016",10,40,40,3000,NSE SME,"1,056,000 Eq Shares of ₹10 (aggregating up to ₹4.22 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 18, 2016",Tuesday,2016,NaN,DRL,NaN,INE704V01015,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.00,38.80,43.00,41.25,186000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
562,Endurance Technologies Ltd ,"Oct 5, 2016","Oct 7, 2016",10,467,472,30,"BSE, NSE","24,613,024 Eq Shares of ₹10 (aggregating up to ₹1,161.73 Cr)",NaN,"24,613,024 Eq Shares of ₹10 (aggregating up to ₹1,161.73 Cr)","Oct 17, 2016","Oct 18, 2016","Oct 18, 2016","Wednesday, October 19, 2016",Wednesday,2016,540153,ENDURANCE,B,INE913H01037,53.43,127.07,2.69,43.84,Link Intime India Private Ltd,NaN,NaN,572.00,572.00,654.40,646.90,36506028,NaN,NaN,NaN,NaN,NaN,570.00,570.00,655.00,647.70,8141059,NaN,NaN,NaN,NaN,NaN
563,DRA Consultants Ltd ,"Sep 30, 2016","Oct 4, 2016",10,10,10,10000,BSE SME,"2,960,000 Eq Shares of ₹10 (aggregating up to ₹2.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 13, 2016",Thursday,2016,540144,NaN,M,INE746V01016,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.00,12.00,12.00,12.00,20000
564,Mewar Hi-Tech Engineering Ltd ,"Sep 30, 2016","Oct 6, 2016",10,22,22,6000,BSE SME,"1,062,000 Eq Shares of ₹10 (aggregating up to ₹2.34 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 17, 2016",Monday,2016,540150,NaN,M,INE957U01011,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.40,26.40,26.40,26.40,90000
565,Art Nirman Ltd ,"Sep 30, 2016","Oct 7, 2016",10,25,25,6000,NSE SME,"2,004,000 Eq Shares of ₹10 (aggregating up to ₹5.01 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, October 19, 2016",Wednesday,2016,NaN,ARTNIRMAN,NaN,INE738V01013,NaN,NaN,NaN,NaN,Sharex Dynamic (India) Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.55,27.50,30.00,30.00,720000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
566,India Green Reality Ltd ,"Sep 30, 2016","Oct 6, 2016",10,30,30,4000,BSE SME,"3,460,000 Eq Shares of ₹10 (aggregating up to ₹10.38 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 18, 2016",Tuesday,2016,540152,NaN,MT,INE373V01019,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.50,30.05,31.50,30.15,196000
567,Varun Beverages Ltd ,"Oct 26, 2016","Oct 28, 2016",10,440,445,33,"BSE, NSE","25,000,000 Eq Shares of ₹10 (aggregating up to ₹1,112.50 Cr)","25,000,000 Eq Shares of ₹10 (aggregating up to ₹1,112.50 Cr)",NaN,"Nov 3, 2016","Nov 4, 2016","Nov 7, 2016","Tuesday, November 8, 2016",Tuesday,2016,540180,VBL,NaN,INE200M01013,4.94,0.42,0.82,1.86,KFintech Private Limited,NaN,NaN,430.00,416.85,471.75,459.50,18118170,NaN,NaN,NaN,NaN,NaN,430.00,417.10,471.00,461.90,5215325,NaN,NaN,NaN,NaN,NaN
568,PNB Housing Finance Ltd ,"Oct 25, 2016","Oct 27, 2016",10,750,775,19,"BSE, NSE","38,719,309 Eq Shares of ₹10 (aggregating up to ₹3,000.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, November 7, 2016",Monday,2016,540173,PNBHOUSING,B,INE572E01012,37.33,86.17,1.32,29.53,Link Intime India Private Ltd,NaN,NaN,860.00,860.00,904.00,891.15,33028250,NaN,NaN,NaN,NaN,NaN,863.00,860.05,902.95,890.60,6425114,NaN,NaN,NaN,NaN,NaN
569,Agro Phos India Ltd ,"Oct 27, 2016","Nov 7, 2016",10,19,22,6000,NSE SME,"5,880,000 Eq Shares of ₹10 (aggregating up to ₹12.94 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, November 16, 2016",Wednesday,2016,NaN,AGROPHOS,NaN,INE740V01019,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.40,22.10,26.40,22.85,2520000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
570,Sheela Foam Ltd ,"Nov 29, 2016","Dec 1, 2016",5,680,730,20,"BSE, NSE","6,986,301 Eq Shares of ₹5 (aggregating up to ₹510.00 Cr)",NaN,[.] Eq Shares of ₹5 (aggregating up to ₹510.00 Cr),"Dec 6, 2016","Dec 7, 2016","Dec 8, 2016","Friday, December 9, 2016",Friday,2016,540203,SFL,B,INE916U01025,14.51,3.35,0.44,5.09,Link Intime India Private Ltd,NaN,NaN,860.00,850.10,"1,032.00","1,032.00",4839221,NaN,NaN,NaN,NaN,NaN,860.00,860.00,"1,032.00","1,032.00",865937,NaN,NaN,NaN,NaN,NaN
571,Jet Freight Logistics Ltd ,"Nov 24, 2016","Nov 28, 2016",10,28,28,4000,NSE SME,"1,452,000 Eq Shares of ₹10 (aggregating up to ₹4.07 Cr)","1,452,000 Eq Shares of ₹10 (aggregating up to ₹4.07 Cr)",NaN,NaN,NaN,NaN,"Tuesday, December 6, 2016",Tuesday,2016,NaN,JETFREIGHT,NaN,INE982V01017,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.60,33.60,33.60,33.60,160000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
572,Aditya Vision Ltd ,"Nov 28, 2016","Dec 5, 2016",10,15,15,8000,BSE SME,"3,840,000 Eq Shares of ₹10 (aggregating up to ₹5.76 Cr)","3,840,000 Eq Shares of ₹10 (aggregating up to ₹5.76 Cr)",NaN,NaN,NaN,NaN,"Monday, December 12, 2016",Monday,2016,540205,NaN,M,INE679V01019,NaN,NaN,NaN,NaN,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.50,15.00,15.99,15.27,496000
573,Majestic Research Services & Solutions Ltd FPO (MRSS FPO) Detail,"Nov 28, 2016","Dec 5, 2016",10,106,114,NaN,BSE SME,[.] Eq Shares of ₹10 (aggregating up to ₹9.99 Cr),"876,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)",NaN,NaN,NaN,NaN,"Wednesday, December 14, 2016",Wednesday,2016,539229,NaN,M,INE196R01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140.00,139.90,149.90,144.55,201600
574,Laurus Labs Ltd ,"Dec 6, 2016","Dec 8, 2016",10,426,428,35,"BSE, NSE","31,116,785 Eq Shares of ₹10 (aggregating up to ₹1,331.80 Cr)","7,009,345 Eq Shares of ₹10 (aggregating up to ₹300.00 Cr)","24,107,440 Eq Shares of ₹10 (aggregating up to ₹1,031.80 Cr)","Dec 14, 2016","Dec 15, 2016","Dec 16, 2016","Monday, December 19, 2016",Monday,2016,540222,LAURUSLABS,B,INE947Q01010,10.54,3.57,1.58,4.53,KFintech Private Limited,NaN,NaN,489.90,475.00,498.00,480.40,17548335,NaN,NaN,NaN,NaN,NaN,490.00,475.00,498.00,480.50,3952346,NaN,NaN,NaN,NaN,NaN
575,Veeram Ornaments Ltd ,"Dec 23, 2016","Dec 28, 2016",10,45,45,3000,BSE SME,"1,137,000 Eq Shares of ₹10 (aggregating up to ₹5.12 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, January 5, 2017",Thursday,2017,540252,NaN,MT,INE607V01010,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.75,42.75,46.00,46.00,75000
576,Libas Designs Limited ,"Dec 27, 2016","Dec 30, 2016",10,68,68,2000,NSE SME,"2,000,000 Eq Shares of ₹10 (aggregating up to ₹13.60 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, January 9, 2017",Monday,2017,NaN,LIBAS,NaN,INE908V01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.25,61.00,81.50,71.40,896000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
577,Prolife Industries Limited ,"Dec 27, 2016","Dec 30, 2016",10,38,38,3000,NSE SME,"1,110,000 Eq Shares of ₹10 (aggregating up to ₹4.22 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, January 9, 2017",Monday,2017,NaN,PROLIFE,NaN,INE994V01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.00,35.50,42.00,37.10,207000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
578,Maheshwari Logistics Limited ,"Dec 30, 2016","Jan 6, 2017",10,68,68,2000,NSE SME,"3,996,000 Eq Shares of ₹10 (aggregating up to ₹27.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, January 16, 2017",Monday,2017,NaN,MAHESHWARI,NaN,INE263W01010,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.80,70.40,78.90,76.35,2176000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
579,BSE Limited ,"Jan 23, 2017","Jan 25, 2017",2,805,806,18,NSE,"15,427,197 Eq Shares of ₹2 (aggregating up to ₹1,243.43 Cr)",NaN,"15,427,197 Eq Shares of ₹2 (aggregating up to ₹[.] Cr)","Dec 31, 2017","Feb 1, 2017","Feb 2, 2017","Friday, February 3, 2017",Friday,2017,NaN,BSE,NaN,INE118H01025,48.64,159.03,6.48,51.22,KFintech Private Limited,NaN,NaN,"1,085.00","1,065.10","1,200.00","1,069.20",15771762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
580,Super Fine Knitters Ltd ,"Jan 18, 2017","Jan 24, 2017",10,12,12,NaN,BSE SME,"3,400,000 Eq Shares of ₹10 (aggregating up to ₹4.08 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 2, 2017",Thursday,2017,540269,NaN,MT,INE459U01018,NaN,NaN,NaN,NaN,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.60,12.60,12.60,12.60,20000
581,Madhav Copper Limited ,"Jan 23, 2017","Jan 27, 2017",10,81,81,1600,NSE SME,"553,600 Eq Shares of ₹10 (aggregating up to ₹4.48 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 6, 2017",Monday,2017,NaN,MCL,NaN,INE813V01014,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.50,85.00,97.20,93.80,380800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
582,Steel City Securities Ltd ,"Feb 6, 2017","Feb 9, 2017",10,55,55,2000,NSE SME,"4,908,000 Eq Shares of ₹10 (aggregating up to ₹26.99 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, February 17, 2017",Friday,2017,NaN,STEELCITY,NaN,INE395H01011,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.00,49.40,56.00,50.10,1906000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
583,Avenue Supermarts Limited ,"Mar 8, 2017","Mar 10, 2017",10,295,299,50,"BSE, NSE","62,541,806 Eq Shares of ₹10 (aggregating up to ₹1,870.00 Cr)",NaN,NaN,"Mar 16, 2017","Mar 17, 2017","Mar 20, 2017","Tuesday, March 21, 2017",Tuesday,2017,540376,DMART,B,INE192R01011,144.61,277.74,7.30,104.48,Link Intime India Private Ltd,NaN,NaN,600.00,558.30,648.90,641.60,85728445,NaN,NaN,NaN,NaN,NaN,604.40,558.75,650.00,640.75,14566653,NaN,NaN,NaN,NaN,NaN
584,Krishana Phoschem Limited ,"Feb 13, 2017","Feb 16, 2017",10,30,30,4000,NSE SME,"6,576,000 Eq Shares of ₹10 (aggregating up to ₹19.73 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 27, 2017",Monday,2017,NaN,KRISHANA,NaN,INE506W01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.00,34.00,36.00,36.00,3140000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
585,Global Education Ltd ,"Feb 16, 2017","Feb 21, 2017",10,150,150,1000,NSE SME,"683,000 Eq Shares of ₹10 (aggregating up to ₹10.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 2, 2017",Thursday,2017,NaN,GLOBAL,NaN,INE291W01011,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.00,180.00,180.00,180.00,28000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
586,Nitiraj Engineers Ltd ,"Feb 20, 2017","Mar 1, 2017",10,100,100,1200,NSE SME,"2,200,800 Eq Shares of ₹10 (aggregating up to ₹22.01 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 9, 2017",Thursday,2017,NaN,NITIRAJ,NaN,INE439T01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.00,87.00,97.10,94.50,126000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
587,Tanvi Foods (India) Ltd ,"Feb 17, 2017","Feb 22, 2017",10,60,60,2000,BSE SME,"1,100,000 Eq Shares of ₹10 (aggregating up to ₹6.60 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 2, 2017",Thursday,2017,540332,NaN,M,INE978V01015,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.00,60.10,65.00,60.25,234000
588,Central Depository Services (India) Limited ,"Jun 19, 2017","Jun 21, 2017",10,145,149,100,NSE,"35,167,208 Eq Shares of ₹10 (aggregating up to ₹523.99 Cr)",NaN,"35,167,208 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Jun 29, 2017","Jun 29, 2017","Jun 29, 2017","Friday, June 30, 2017",Friday,2017,NaN,CDSL,NaN,INE736A01011,148.71,563.03,23.83,170.16,Link Intime India Private Ltd,NaN,NaN,250.00,250.00,269.95,261.60,50326065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
589,RMC Switchgears Limited ,"Feb 28, 2017","Mar 3, 2017",10,27,27,4000,BSE SME,"1,536,000 Eq Shares of ₹10 (aggregating up to ₹4.15 Cr)","768,000 Eq Shares of ₹10 (aggregating up to ₹2.07 Cr)","768,000 Eq Shares of ₹10 (aggregating up to ₹2.07 Cr)",NaN,NaN,NaN,"Tuesday, March 14, 2017",Tuesday,2017,540358,NaN,M,INE655V01019,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.50,29.00,32.40,32.40,1000000
590,Music Broadcast Ltd ,"Mar 6, 2017","Mar 8, 2017",10,324,333,45,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹488.53 Cr),[.] Eq Shares of ₹10 (aggregating up to ₹400.00 Cr),"2,658,518 Eq Shares of ₹10 (aggregating up to ₹88.53 Cr)","Mar 14, 2017","Mar 15, 2017","Mar 16, 2017","Friday, March 17, 2017",Friday,2017,540366,RADIOCITY,B,INE919I01016,39.78,109.13,9.85,39.67,KFintech Private Limited,NaN,NaN,413.00,367.20,415.00,372.90,18387985,NaN,NaN,NaN,NaN,NaN,420.00,368.00,420.00,373.15,3814473,NaN,NaN,NaN,NaN,NaN
591,Akash Infra Projects Ltd ,"Feb 28, 2017","Mar 6, 2017",10,125,125,1000,NSE SME,"2,040,000 Eq Shares of ₹10 (aggregating up to ₹25.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, March 15, 2017",Wednesday,2017,NaN,AKASH,NaN,INE737W01013,NaN,NaN,NaN,NaN,Purva Sharegistry India Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124.50,124.50,131.60,128.15,927000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
