Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Listing_day_open,Listing_day_last_trade,Bidding_Period,Bid_Opening_Month,Bid_Closing_Month
100.0,100.0,1200.0,2,0.0,1.8,0.41,1.11,101.25,101.25,2,3,3
30.0,30.0,4000.0,2,0.0,1.15,1.44,1.3,31.9,33.45,4,3,3
35.0,35.0,4000.0,2,0.0,1.75,0.74,1.25,36.0,37.8,5,3,3
54.0,54.0,2000.0,2,0.0,2.51,2.56,2.64,53.4,56.05,5,4,5
51.0,51.0,2000.0,2,0.0,19.52,19.87,19.74,55.05,57.8,3,4,5
10.0,10.0,10000.0,2,0.0,2.17,1.89,2.13,10.0,10.0,5,4,4
30.0,30.0,4000.0,2,0.0,3.35,6.48,4.96,29.95,28.5,2,4,4
40.0,40.0,3000.0,2,0.0,1.71,9.24,5.49,40.0,38.0,6,4,5
45.0,45.0,3000.0,2,0.0,0.82,3.45,2.13,45.0,44.45,4,5,5
36.0,36.0,3000.0,2,0.0,1.89,3.76,2.83,27.0,25.65,6,5,5
